,manner_degree,title,price,like,chat,view,category,time,article,total_area_revised
48,42.2,애플워치7 41mm 스타라이트 셀룰러,450000,0,0,16,디지털기기,0.021,"
작년 11월5일 활성화 되어 올해 11월5일 지원만료됩니다.
풀박스에 기본스트랩은 사용 안했고,
따로 구매한 가죽스트랩(정품x.5만원정도에 구매)
프라이드 스트랩 스포츠루프(정품)
까지 드립니다.
사진에는 안보이는 기스 존재합니다. 사진이 잘 안찍히네요.
S급 찾으시는 분들은 거래 어려울것같습니다.
",광주
49,41.6,애플워치 5 44mm  Cellular 판매,280000,0,0,35,디지털기기,0.022,"
미국판이며, 야외에서 손에 핸펀 없이 spotify, podcasts 등을 사용할수 있어 정말 편합니다. ^^
긁힘1도 없습니다. 여분 스트랩 더 드립니다. 배터리 95% 입니다. 풀박스 입니다. 합정역, 홍대입구, 서울역, 신촌역 거래 가능합니다.
",서울
50,36.5,애플워치 38/40mm 메탈 스트랩,13000,0,1,160,디지털기기,0.021,"
3 번 정도 착용한 제품 입니다 !
깔끔하고 어느 옷에나 잘 어울리는 스트랩이에요!
",강원도
51,38.1,애플워치 스트랩 골드브라운 가죽링크 45mm S/M,70000,1,0,16,디지털기기,0.028,"
주안남초등학교에서 거래합니다
",인천
52,36.7,애플워치 se 44mm 스그 팝니다,300000,0,0,21,디지털기기,0.022,"
액정에 기스 꽤 있어요🥲 (사진 참고)
기스 빼고는 다 멀쩡 합니다!!
풀박입니다!! 사용감있어요
",경기도
53,53.2,애플워치 7 나이키에디션 블랙 41mm gps,350000,3,4,56,디지털기기,0.019,"
상태 매우좋음
풀박스(전용 충전기 포함)
배터리 효율 100
투명 케이스 증정
화면 스크래치에 민감하신 분은 피해주세요
당근톡 마니 주세요 :)
",대전
54,37.0,"요아스 애플워치 스트랩 38, 40 , 41mm",7000,0,0,36,디지털기기,0.022,"
연락주세요
",강원도
55,36.5,애플워치 se 44mm 팝니다,280000,1,0,29,디지털기기,0.02,"
애플워치 쓴지 3개월 됬고 박스는 없고 충전기 스트랩 있습니다 거래는 매탄초 정문 쪽에서 거래 가능합니다
",경기도
56,40.5,하빙 애플워치 41 실버 베젤 프레임 케이스,5000,0,1,27,기타 중고물품,0.02,"
끼워보지도 않은 새제품이에요
반값에 팔아요!
",대구
57,36.6,애플워치SE 나이키 44mm 팔아요,240000,1,0,27,디지털기기,0.015,"
애플워치 se 나이키 팝니다
정품 시계줄 미사용 입니다
가죽줄 및 다른 밴드 있고요 
충전 케이블 포함입니다
배터리성능 96%입니다
",경기도
