,title,price,like,view,article,category,location,link
36,애플워치7 41mm 스타라이트 미개봉 팝니다.,"430,000",0,19,"애플워치 7세대 GPS 41mm 스타라이트 미개봉 43만원에 판매합니다.

거래는 직거래만 합니다. 

평일 오전 9시부터 6시까지 용산역이나 신용산역에서 거래 가능하고, 6시 이후에는 서울 신촌, 홍대입구, 합정까지 직거래 가능합니다.",웨어러블(워치),서울특별시 용산구 한강로동,https://m.bunjang.co.kr/products/190358999?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
37,"애플워치 7 41mm 알루미늄, 애플케어플러스, 밀레니즈 루프 포함","400,000",5,147,"2개월 전에 구입하였으며, 급전이 필요해 판매합니다.
애케플 가입되어있으며, 2주 전에 구입한 애플 정품 밀레니즈 루프도 같이 드립니다.
상태는 전체적으로 깨끗하지만 디스플레이에 스크래치가 다소 있습니다.
막 쓰시다가 신경쓰이시면 애플케어플러스로 제품 교체받으시면 됩니다.",웨어러블(워치),전국,https://m.bunjang.co.kr/products/190301314?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
38,에르메스 애플워치7 41mm 풀박+정품스포츠줄+충전기,"1,250,000",9,517,"에르메스 애플워치7 선물받앗는데
한번 끼고 안꼇어요, 쓸일이 없어서요,
미국에서 친구가 사서 준건대 한국이랑 다를꺼 없어요, 다른분이랑 비교햇을때는 정말 싸게 올린가에요
줄 색도 엄청이쁘구요, 편하게 연락주세요",웨어러블(워치),서울특별시 성동구 마장동,https://m.bunjang.co.kr/products/188906551?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
39,애플워치 se 44mm 스페이스그레이,"275,000",0,32,"애플워치 se 스페이스 그레이 44mm입니다
구매한지 3주되었고 착용 몇번안했습니다
풀박스입니다 쿨거시 에눌좀 해드려요
급처니 연락주세요",기타(시계),경상남도 창원시 마산합포구 월영동,https://m.bunjang.co.kr/products/190347576?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
40,애플워치se 40mm,"220,000",1,50,"올해 1월에 중학교 졸업하며 선물 받았는데 너무 작아서 판매 합니다 
사진을 봐서 아시겠지만 물건을 조심히 다루는 사람이라 끼고 다닐땐  항상 케이스 끼고 다녔고 몇번 사용하지 않아 상태 완전 s급 자부 합니다.
쿨거시 케이스도 같이 드려요!!
직거래 선호 합니다",웨어러블(워치),경기도 화성시 동탄3동,https://m.bunjang.co.kr/products/190346153?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
41,애플워치se 44 산지2주도 안된거 판매합니다,"280,000",1,59,"제가 여행중에 급하게 돈필여해서 파는거라 월요일날 보내드립니다 쿨거시28 말길어지면30

사실분만 말씀주세요 풀박",웨어러블(워치),서울특별시 중구 약수동,https://m.bunjang.co.kr/products/190345684?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
42,애플워치 구합니다,"200,000",0,11,"20만원 안쪽으로 애플워치 구해봐요!
시리즈 4.5.se 받아요
기스 왠만하면 없었으면 합니다",웨어러블(워치),전국,https://m.bunjang.co.kr/products/190345103?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
43,애플워치se(40mm)실버,"250,000",0,69,기스 하나 없고 거의 착용안하고 다녀서 새거에요,웨어러블(워치),서울특별시 관악구 신림동,https://m.bunjang.co.kr/products/190344451?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
44,애플워치 블랙 나이키 se2 44mm,"349,000",8,155,"애플워치 se

44mm

미개봉입니다",웨어러블(워치),서울특별시 용산구 원효로제1동,https://m.bunjang.co.kr/products/189609691?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
45,애플워치 7 하자없음 배터리성능100,"420,000",2,102,"애플워치 7 스타라이트 하자 전혀없습니다 
충전기 같이드려요 연락주세요 애눌 x
배터리성능 100",남성 시계,전국,https://m.bunjang.co.kr/products/190206259?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
46,애플워치40mm네고돼구용 거의새상품이에용,"290,000",0,17,애플워치se 40mm실착5번정도밖에안햇고 하자없고 새상품이고 초기화다해놨어요 네고돼니까 연락 편하게주세요,웨어러블(워치),경기도 화성시 병점2동,https://m.bunjang.co.kr/products/190259621?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
47,애플워치 se스그 gps,"290,000",5,122,"새상품 입니당
쿠팡으로 바로 주문해 드리는겁니당
쿠팡포인트가 있어서 그걸로 시켜 드리는 거에용",웨어러블(워치),경상남도 창원시 의창구 의창동,https://m.bunjang.co.kr/products/181510527?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
48,풀박스 애플워치 se44 스페이스 그레이 판매합니다.,"280,000",0,43,"케이스, 액정 필수로 사용했습니다.
배터리 성능 100%이구요. 팔찌 때문에
착용을 안하게 되어 판매합니다.
편하게 연락주세요 !!",웨어러블(워치),전국,https://m.bunjang.co.kr/products/190315946?q=%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98&ref=%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC
